"Rank_90","Genus","FIS_90","Cumulative_FIS_percent","Selected_Metabolites_90","Median_Bayesian_pvalue_90_selected_edges","FIS_95","Rank_95","FIS_99","Rank_99","Percentile_Rank_90"
186,"Hungatella",0.4935,90.09,9,0.05993,0,254,0,120,35.31
187,"CAG.590",0.4928,90.29,9,0.05327,0.3472,180,0,120,34.97
188,"Pullichristensenella",0.4771,90.48,9,0.06437,0.2429,202,0,120,34.62
189,"Merdimonas",0.4756,90.67,9,0.07325,0.1769,221,0,120,34.27
190,"Caecibacter",0.4753,90.86,9,0.06659,0.2436,201,0,120,33.92
191,"Coprococcus_A",0.4712,91.05,9,0.04884,0.4902,155,0,120,33.57
192,"Enterocloster",0.4634,91.24,8,0.06326,0.1714,222,0,120,33.22
193,"Mediterraneibacter_A",0.4541,91.42,8,0.05549,0.3631,178,0,120,32.87
194,"HGM12814",0.4536,91.6,9,0.07325,0.4167,168,1,63,32.52
195,"PeH17",0.4438,91.78,8,0.05771,0.3667,176,1,63,32.17
196,"Odoribacter",0.443,91.96,8,0.06548,0.4167,168,0,120,31.82
197,"CAG.238",0.4404,92.13,8,0.06215,0.3651,177,0,120,31.47
198,"Citrobacter",0.436,92.31,8,0.07991,0.1909,217,0,120,31.12
199,"Butyricicoccus_A",0.4109,92.47,7,0.06659,0.25,199,1,63,30.77
200,"Clostridium_AP",0.405,92.64,8,0.06659,0.4107,170,0,120,30.42
201,"CAG.103",0.4018,92.8,8,0.07769,0.0909,243,0,120,30.07
202,"NSJ.51",0.4004,92.96,7,0.05771,0.302,187,0,120,29.72
203,"Ruminococcus_D",0.4003,93.12,8,0.0788,0.2361,206,0,120,29.37
204,"Metalachnospira",0.3958,93.28,7,0.06881,0.325,184,0,120,29.02
205,"Massiliomicrobiota",0.3949,93.44,7,0.07769,0.0909,243,0,120,28.67
206,"Agathobaculum",0.394,93.59,7,0.05771,0.3968,172,0,120,28.32
207,"CAG.95",0.3842,93.75,7,0.08657,0.2,215,0,120,27.97
208,"Limivivens",0.3769,93.9,7,0.08879,0.2159,213,0,120,27.62
209,"Ruminococcus_E",0.376,94.05,7,0.06881,0.1429,227,0,120,27.27
210,"Limosilactobacillus",0.374,94.2,7,0.08435,0.1429,227,0,120,26.92
211,"Anaeromassilibacillus",0.3731,94.35,7,0.03996,0.4937,153,0,120,26.57
212,"Ventricola",0.3585,94.49,6,0.07547,0.225,209,0,120,26.22
213,"Sellimonas",0.3524,94.64,6,0.07214,0.188,219,0,120,25.87
214,"Veillonella",0.343,94.77,6,0.0444,0.4345,164,0,120,25.52
215,"Ruminococcus_B",0.3325,94.91,5,0.08879,0.0909,243,0,120,25.17
216,"Clostridium_A",0.3269,95.04,6,0.07658,0.0909,243,0,120,24.83
217,"1XD42.69",0.3245,95.17,6,0.04551,0.4194,167,0,120,24.48
218,"Angelakisella",0.3236,95.3,6,0.07214,0.125,230,0,120,24.13
219,"Copromonas",0.3207,95.43,6,0.06659,0.2262,208,0,120,23.78
220,"Pelethomonas",0.3115,95.55,6,0.04218,0.4262,165,0,120,23.43
221,"GCA.900066755",0.3033,95.68,6,0.03441,0.5472,146,0,120,23.08
222,"Catenibacterium",0.3014,95.8,5,0.04884,0.2742,194,0,120,22.73
223,"Clostridium_AQ",0.3005,95.92,6,0.07658,0.225,209,0,120,22.38
224,"Paraprevotella",0.2868,96.03,5,0.07769,0,254,0,120,22.03
225,"Ruminococcus_C",0.2844,96.15,5,0.06437,0.1678,223,0,120,21.68
226,"Fusobacterium_A",0.2824,96.26,5,0.06437,0.3,189,0,120,21.33
227,"Intestinimonas",0.2808,96.37,5,0.06659,0.1667,224,0,120,20.98
228,"CAG.485",0.2783,96.48,5,0.05105,0.2679,196,0,120,20.63
229,"Mailhella",0.2701,96.59,5,0.06437,0.0769,251,0,120,20.28
230,"RUG705",0.2681,96.7,5,0.07103,0.0833,250,0,120,19.93
231,"Limiplasma",0.2677,96.81,5,0.07547,0.125,230,0,120,19.58
232,"Emergencia",0.2635,96.91,5,0.06437,0.1944,216,0,120,19.23
233,"Fusobacterium",0.2601,97.02,5,0.05993,0.125,230,0,120,18.88
234,"Lachnoclostridium_B",0.2581,97.12,5,0.07769,0,254,0,120,18.53
235,"UBA5026",0.2576,97.23,5,0.07325,0.125,230,0,120,18.18
236,"CAG.488",0.2557,97.33,4,0.08657,0.1429,227,0,120,17.83
237,"CAG.239.g__51.20",0.2541,97.43,5,0.04217,0.2964,191,0.5,86,17.48
238,"CAG.177",0.2483,97.53,4,0.07214,0.1,239,0,120,17.13
239,"Granulicatella",0.2333,97.62,4,0.06881,0,254,0,120,16.78
240,"Faecalibacterium",0.2288,97.72,4,0.05993,0.125,230,0,120,16.43
